City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
260,Jinxiang,CN,58.86,overcast clouds,27.4327,120.6062,Wolong Village
263,Kirakira,SB,84.97,broken clouds,-10.4544,161.9205,SanBiz Lodge
264,Marsh Harbour,BS,76.37,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
265,Oussouye,SN,69.98,clear sky,12.485,-16.5469,Auberge du Routard
266,Carballo,ES,56.75,overcast clouds,43.213,-8.691,Pazo do Souto
269,Nara,JP,65.52,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
270,Destin,US,73.98,overcast clouds,30.3935,-86.4958,The Inn on Destin Harbor
272,Banikoara,BJ,88.47,overcast clouds,11.2985,2.4386,Hôtel de l'UCom CVPC
273,Maldonado,UY,61.23,overcast clouds,-34.6667,-54.9167,La Cimarrona
274,Bandiagara,ML,80.15,broken clouds,14.3501,-3.6104,Hotel de la Falaise
276,Pemberton,CA,53.29,overcast clouds,50.3164,-122.8027,Pemberton Valley Lodge
278,Isla Vista,US,78.3,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
279,Morgan City,US,78.03,broken clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
280,Winchester,GB,51.66,haze,51.0651,-1.3187,Lainston House
281,Catemaco,MX,84.76,few clouds,18.4167,-95.1167,Hotel Playa Cristal
285,Soe,ID,74.3,overcast clouds,-9.8607,124.284,Dena Hotel
286,Kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
287,Port Hedland,AU,86.05,few clouds,-20.3167,118.5667,The Esplanade Hotel
295,San Policarpo,PH,82.72,broken clouds,12.1791,125.5072,Agapita M. Nicart
297,Luena,AO,62.13,overcast clouds,-11.7833,19.9167,Hotel Kandamba
298,Beyneu,KZ,59.49,clear sky,45.3167,55.2,NUR
299,North Myrtle Beach,US,66.38,clear sky,33.816,-78.68,Avista Resort
301,Semnan,IR,50.02,few clouds,35.5729,53.3971,Semnan Tourist Hotel
302,Dahanu,IN,78.69,clear sky,19.9667,72.7333,Pearline Beach Villas
304,Moranbah,AU,76.53,clear sky,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
305,Wamba,NG,76.19,light rain,8.9333,8.6,Roma Zee Guest House Annex
307,Coahuayana,MX,81.36,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
308,Labuan,MY,84.56,few clouds,5.2767,115.2417,Tiara Labuan Hotel
310,Kruisfontein,ZA,58.89,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
311,Bima,ID,80.98,moderate rain,-8.4667,118.7167,Lambitu Hotel
312,Souillac,MU,79.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
313,Wanxian,CN,54.82,overcast clouds,30.8039,108.3897,7Days Inn Chongqing Shiqiaopu
315,Kamaishi,JP,54.48,scattered clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
317,Sola,VU,88.47,broken clouds,-13.8833,167.55,Leumerus Bungalows
318,Sao Filipe,CV,71.51,clear sky,14.8961,-24.4956,Hotel Xaguate
323,Namibe,AO,72.82,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
324,Port Hardy,CA,51.98,broken clouds,50.6996,-127.4199,Airport Inn-Port Hardy
325,Koutsouras,GR,63.1,broken clouds,35.0339,25.9469,The White Houses
326,Warrnambool,AU,57.81,light rain,-38.3833,142.4833,Lady Bay Resort
327,Alugan,PH,82.29,broken clouds,12.2188,125.4808,JM Lodge
330,Keta,GH,82.62,light rain,5.9179,0.9879,A&Y Wild Camp Ghana
334,Praia Da Vitoria,PT,59.25,scattered clouds,38.7333,-27.0667,Hotel Branco I
336,Victoria,HK,74.17,overcast clouds,22.2855,114.1577,Mini Hotel Central
338,Bharatpur,IN,83.73,clear sky,27.2167,77.4833,OYO 22446 Sonar Haveli
339,Sterling,US,51.22,clear sky,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
340,Ketchikan,US,50.47,few clouds,55.3422,-131.6461,Snow's Cove Lodge
341,Jawad,IN,77.41,clear sky,24.6,74.85,हर मंदिर जावद
342,Moerai,PF,79.56,clear sky,-22.4333,-151.3333,Le Manotel
346,Gasa,PS,81.97,scattered clouds,31.5,34.4667,رابطة الفنانين الفلسطينيين
347,Jackson,US,62.74,clear sky,42.4165,-122.8345,Agate Village Apartments
348,Ponta Do Sol,PT,66.83,overcast clouds,32.6667,-17.1,Hotel do Campo
349,Diego De Almagro,CL,60.51,clear sky,-26.3667,-70.05,hotel luna del desierto
350,Waddan,LY,59.67,few clouds,29.1614,16.139,محل الشريف محمد العايب
351,Melo,UY,63.54,light rain,-32.3667,-54.1833,Hotel Juana
353,Russell,US,66.11,few clouds,32.3502,-85.1999,Macs
355,Cangucu,BR,56.25,overcast clouds,-31.395,-52.6756,Tchê Parque
356,Kathmandu,NP,59.22,mist,27.7167,85.3167,Hotel Shanker Kathmandu
357,Saint-Leu,RE,74.23,clear sky,-21.15,55.2833,La Caz Oceane
359,Carutapera,BR,76.37,overcast clouds,-1.195,-46.02,Lidera
360,Caravelas,BR,78.03,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
362,Biloela,AU,76.41,clear sky,-24.4167,150.5,Biloela Silo Motor Inn
363,Nebaj,GT,79.38,broken clouds,15.4058,-91.1461,Hotel La Casa de David
364,Mandal,IN,81.91,clear sky,25.45,74.5667,Surpanch saab ki vatika
365,Tsiroanomandidy,MG,65.97,few clouds,-18.7667,46.0333,Hotel Ravinala
367,Cordeiro,BR,62.56,overcast clouds,-22.0286,-42.3608,Hotel Longra
368,Yining,CN,52.21,overcast clouds,29.0361,114.5636,Xiushui Hotel
369,Gualeguaychu,AR,63.9,overcast clouds,-33.0094,-58.5172,Hotel Los Angeles
370,Phenix City,US,66.67,light rain,32.471,-85.0008,Columbus Marriott
371,Richards Bay,ZA,63.48,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
373,Acajutla,SV,84.18,overcast clouds,13.5928,-89.8275,Laureles
374,Patos,BR,77.04,moderate rain,-7.0244,-37.28,Hotel JK
376,Los Llanos De Aridane,ES,69.55,overcast clouds,28.6585,-17.9182,Valle Aridane
380,Kudahuvadhoo,MV,83.86,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
381,Korla,CN,54.28,clear sky,41.7597,86.1469,Gulisitan Hotel
