City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
59,Saint-Philippe,RE,2022-04-06 22:37:18,-21.3585,55.7679,78.39,80,90,10.8
60,Nordfjordeid,NO,2022-04-06 22:37:18,61.9063,5.9915,30.88,64,32,6.91
61,Severo-Kurilsk,RU,2022-04-06 22:37:18,50.6789,156.125,35.11,91,99,14.47
62,Margate,GB,2022-04-06 22:37:19,51.3813,1.3862,50.31,78,100,8.99
63,Mareeba,AU,2022-04-06 22:37:19,-17.0,145.4333,77.43,79,93,2.42
64,Yagodnoye,RU,2022-04-06 22:37:19,62.55,149.6667,3.7,93,100,1.34
65,Chato,TZ,2022-04-06 22:37:20,-2.6378,31.7669,64.36,90,61,5.73
66,Qasigiannguit,GL,2022-04-06 22:37:20,68.8193,-51.1922,19.06,96,100,5.06
67,Staunton,US,2022-04-06 22:37:20,38.1496,-79.0717,65.52,52,40,3.44
68,Victoria,HK,2022-04-06 22:37:15,22.2855,114.1577,72.18,80,78,8.99
69,Jiwani,PK,2022-04-06 22:37:21,25.05,61.7417,78.87,80,0,8.9
70,Aklavik,CA,2022-04-06 22:37:21,68.2191,-135.0107,21.2,45,20,8.05
71,Santa Cruz Del Sur,CU,2022-04-06 22:37:22,20.7147,-77.9956,81.68,73,1,10.63
72,Tomatlan,MX,2022-04-06 22:37:22,19.9333,-105.25,84.27,45,90,10.74
73,Oranjemund,NA,2022-04-06 22:37:23,-28.55,16.4333,59.18,85,100,19.98
74,Acapulco,MX,2022-04-06 22:37:23,16.8634,-99.8901,80.42,69,75,17.27
75,Khatanga,RU,2022-04-06 22:37:24,71.9667,102.5,12.47,83,100,17.9
76,Saskylakh,RU,2022-04-06 22:37:24,71.9167,114.0833,-16.65,99,72,5.95
77,Vaini,TO,2022-04-06 22:37:24,-21.2,-175.2,82.56,78,75,4.61
78,Kyrylivka,UA,2022-04-06 22:37:25,46.3759,35.3675,45.09,84,28,6.29
79,Asyut,EG,2022-04-06 22:37:25,27.181,31.1837,77.18,15,2,6.55
80,Srivardhan,IN,2022-04-06 22:37:25,18.0333,73.0167,77.85,83,22,0.31
81,Pevek,RU,2022-04-06 22:37:26,69.7008,170.3133,-8.84,96,100,6.22
82,Tahe,CN,2022-04-06 22:37:26,52.3333,124.7333,20.17,60,34,12.53
83,Palmer,US,2022-04-06 22:37:27,42.1584,-72.3287,49.57,76,100,6.91
84,Palu,ID,2022-04-06 22:37:27,-0.8917,119.8707,75.6,88,97,2.44
85,Nome,US,2022-04-06 22:37:27,64.5011,-165.4064,6.17,72,100,6.91
86,Saldanha,ZA,2022-04-06 22:37:28,-33.0117,17.9442,59.88,58,46,17.34
87,Hasaki,JP,2022-04-06 22:37:28,35.7333,140.8333,55.8,76,99,22.53
88,Lavrentiya,RU,2022-04-06 22:37:28,65.5833,-171.0,-3.68,69,100,7.9
89,Hami,CN,2022-04-06 22:38:29,42.8,93.45,60.04,17,1,2.51
90,Fort William,GB,2022-04-06 22:38:30,56.8165,-5.1121,40.3,91,66,5.55
91,Piedecuesta,CO,2022-04-06 22:38:30,6.9879,-73.0495,74.52,94,99,3.06
92,Maniitsoq,GL,2022-04-06 22:38:30,65.4167,-52.9,23.77,89,100,15.1
93,Kumluca,TR,2022-04-06 22:38:31,36.3703,30.2869,66.09,53,16,3.78
94,Ambulu,ID,2022-04-06 22:38:31,-8.345,113.6058,76.1,88,84,1.3
95,Yellowknife,CA,2022-04-06 22:35:01,62.456,-114.3525,35.42,74,75,6.91
96,Hobyo,SO,2022-04-06 22:38:31,5.3505,48.5268,80.17,71,4,12.17
97,Verkhoyansk,RU,2022-04-06 22:38:32,67.5447,133.385,0.52,94,100,0.98
