City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
403,Ariquemes,BR,-9.9133,-63.0408,72.77,98,97,3.22,overcast clouds
404,Vizinga,RU,61.0749,50.1031,26.4,92,61,4.41,broken clouds
405,Pyapon,MM,16.2833,95.6833,79.45,79,12,4.36,few clouds
406,Sitka,US,57.0531,-135.33,46.29,57,75,9.22,broken clouds
407,Hobyo,SO,5.3505,48.5268,82.67,78,57,16.84,broken clouds
408,Ihosy,MG,-22.4,46.1167,66.43,90,82,7.02,broken clouds
409,Vestmannaeyjar,IS,63.4427,-20.2734,42.69,70,21,4.7,few clouds
410,Tiznit,MA,29.5833,-9.5,72.86,23,100,1.34,overcast clouds
411,Chifeng,CN,42.2683,118.9636,50.61,30,0,8.39,clear sky
412,Dapdap,PH,12.062,125.4881,83.16,66,82,11.27,broken clouds
413,Mitsamiouli,KM,-11.3847,43.2844,81.18,73,11,7.58,few clouds
414,Nhulunbuy,AU,-12.2333,136.7667,77.61,94,100,10.36,moderate rain
415,Shache,CN,38.4167,77.2406,55.83,19,35,5.93,scattered clouds
416,Forio,IT,40.7342,13.8646,53.82,53,95,18.39,overcast clouds
417,Faya,SA,18.3851,42.4509,62.71,37,41,3.04,scattered clouds
418,Ixtapa,MX,20.7,-105.2,78.22,69,75,8.05,broken clouds
419,Vestmanna,FO,62.1564,-7.1664,45.52,100,100,8.05,drizzle
420,Aljezur,PT,37.3191,-8.8033,56.95,89,90,10.56,overcast clouds
421,Havre-Saint-Pierre,CA,50.2334,-63.5986,37.4,93,100,13.8,overcast clouds
422,Nishihara,JP,26.1842,127.7558,70.88,69,100,2.3,overcast clouds
423,Narovchat,RU,53.8765,43.6946,34.65,96,100,6.13,overcast clouds
424,Olavarria,AR,-36.8927,-60.3225,60.03,84,82,5.73,broken clouds
425,Touros,BR,-5.1989,-35.4608,80.29,78,87,8.7,overcast clouds
426,Correntina,BR,-13.3433,-44.6367,69.75,92,30,3.42,scattered clouds
427,Bayan,CN,46.0833,127.4,46.13,23,7,6.67,clear sky
428,Vrangel,RU,42.7297,133.0839,45.7,63,69,5.03,broken clouds
429,Kutum,SD,14.2,24.6667,79.57,14,31,2.1,scattered clouds
430,Duldurga,RU,50.6761,113.5931,52.07,39,44,10.78,scattered clouds
431,Baykit,RU,61.67,96.37,25.2,83,99,11.56,overcast clouds
432,Kitob,UZ,39.0843,66.8332,63.55,53,99,3.44,overcast clouds
433,Sokoto,NG,13.0609,5.239,84.56,9,96,8.43,overcast clouds
434,Kieta,PG,-6.2167,155.6333,82.85,74,70,2.73,light rain
435,Klaksvik,FO,62.2266,-6.589,47.32,97,100,11.79,light rain
436,Klamath Falls,US,42.2249,-121.7817,55.96,28,20,4.61,few clouds
437,Benemerito De Las Americas,MX,16.5167,-90.6439,82.38,57,13,0.67,few clouds
